,genericArticle_genericArticleId,genericArticle_genericArticleDescription,genericArticle_legacyArticleId,genericArticle_linkageTargetTypes,dataSupplierId,articleNumber,mfrId,mfrName,searchQuery,oem_articleNumber,oem_mfrId,oem_mfrName,oem_matchesSearchQuery
0,424,"Filter, cabin air",7395346,"['V', 'O']",4,CUK 29 005,504,MANN-FILTER,A2128300318,204 830 00 18,74,MERCEDES-BENZ,False
1,424,"Filter, cabin air",7395346,"['V', 'O']",4,CUK 29 005,504,MANN-FILTER,A2128300318,204 830 05 18,74,MERCEDES-BENZ,False
2,424,"Filter, cabin air",7395346,"['V', 'O']",4,CUK 29 005,504,MANN-FILTER,A2128300318,212 830 00 18,74,MERCEDES-BENZ,False
3,424,"Filter, cabin air",7395346,"['V', 'O']",4,CUK 29 005,504,MANN-FILTER,A2128300318,212 830 01 18,74,MERCEDES-BENZ,False
4,424,"Filter, cabin air",7395346,"['V', 'O']",4,CUK 29 005,504,MANN-FILTER,A2128300318,212 830 02 18,74,MERCEDES-BENZ,False
5,424,"Filter, cabin air",7395346,"['V', 'O']",4,CUK 29 005,504,MANN-FILTER,A2128300318,212 830 03 18,74,MERCEDES-BENZ,False
6,424,"Filter, cabin air",7395346,"['V', 'O']",4,CUK 29 005,504,MANN-FILTER,A2128300318,A 204 830 00 18,74,MERCEDES-BENZ,False
7,424,"Filter, cabin air",7395346,"['V', 'O']",4,CUK 29 005,504,MANN-FILTER,A2128300318,A 204 830 05 18,74,MERCEDES-BENZ,False
8,424,"Filter, cabin air",7395346,"['V', 'O']",4,CUK 29 005,504,MANN-FILTER,A2128300318,A 212 830 00 18,74,MERCEDES-BENZ,False
9,424,"Filter, cabin air",7395346,"['V', 'O']",4,CUK 29 005,504,MANN-FILTER,A2128300318,A 212 830 01 18,74,MERCEDES-BENZ,False
10,424,"Filter, cabin air",7395346,"['V', 'O']",4,CUK 29 005,504,MANN-FILTER,A2128300318,A 212 830 02 18,74,MERCEDES-BENZ,False
11,424,"Filter, cabin air",7395346,"['V', 'O']",4,CUK 29 005,504,MANN-FILTER,A2128300318,A 212 830 03 18,74,MERCEDES-BENZ,True
12,424,"Filter, cabin air",7409470,"['V', 'O']",4,FP 29 005,504,MANN-FILTER,A2128300318,204 830 00 18,74,MERCEDES-BENZ,False
13,424,"Filter, cabin air",7409470,"['V', 'O']",4,FP 29 005,504,MANN-FILTER,A2128300318,204 830 05 18,74,MERCEDES-BENZ,False
14,424,"Filter, cabin air",7409470,"['V', 'O']",4,FP 29 005,504,MANN-FILTER,A2128300318,212 830 00 18,74,MERCEDES-BENZ,False
15,424,"Filter, cabin air",7409470,"['V', 'O']",4,FP 29 005,504,MANN-FILTER,A2128300318,212 830 01 18,74,MERCEDES-BENZ,False
16,424,"Filter, cabin air",7409470,"['V', 'O']",4,FP 29 005,504,MANN-FILTER,A2128300318,212 830 02 18,74,MERCEDES-BENZ,False
17,424,"Filter, cabin air",7409470,"['V', 'O']",4,FP 29 005,504,MANN-FILTER,A2128300318,212 830 03 18,74,MERCEDES-BENZ,False
18,424,"Filter, cabin air",7409470,"['V', 'O']",4,FP 29 005,504,MANN-FILTER,A2128300318,A 204 830 00 18,74,MERCEDES-BENZ,False
19,424,"Filter, cabin air",7409470,"['V', 'O']",4,FP 29 005,504,MANN-FILTER,A2128300318,A 204 830 05 18,74,MERCEDES-BENZ,False
20,424,"Filter, cabin air",7409470,"['V', 'O']",4,FP 29 005,504,MANN-FILTER,A2128300318,A 212 830 00 18,74,MERCEDES-BENZ,False
21,424,"Filter, cabin air",7409470,"['V', 'O']",4,FP 29 005,504,MANN-FILTER,A2128300318,A 212 830 01 18,74,MERCEDES-BENZ,False
22,424,"Filter, cabin air",7409470,"['V', 'O']",4,FP 29 005,504,MANN-FILTER,A2128300318,A 212 830 02 18,74,MERCEDES-BENZ,False
23,424,"Filter, cabin air",7409470,"['V', 'O']",4,FP 29 005,504,MANN-FILTER,A2128300318,A 212 830 03 18,74,MERCEDES-BENZ,True
24,424,"Filter, cabin air",186804886,"['V', 'O']",4,FP 29 005/1,504,MANN-FILTER,A2128300318,204 830 00 18,74,MERCEDES-BENZ,False
25,424,"Filter, cabin air",186804886,"['V', 'O']",4,FP 29 005/1,504,MANN-FILTER,A2128300318,204 830 05 18,74,MERCEDES-BENZ,False
26,424,"Filter, cabin air",186804886,"['V', 'O']",4,FP 29 005/1,504,MANN-FILTER,A2128300318,212 830 00 18,74,MERCEDES-BENZ,False
27,424,"Filter, cabin air",186804886,"['V', 'O']",4,FP 29 005/1,504,MANN-FILTER,A2128300318,212 830 01 18,74,MERCEDES-BENZ,False
28,424,"Filter, cabin air",186804886,"['V', 'O']",4,FP 29 005/1,504,MANN-FILTER,A2128300318,212 830 02 18,74,MERCEDES-BENZ,False
29,424,"Filter, cabin air",186804886,"['V', 'O']",4,FP 29 005/1,504,MANN-FILTER,A2128300318,212 830 03 18,74,MERCEDES-BENZ,False
30,424,"Filter, cabin air",186804886,"['V', 'O']",4,FP 29 005/1,504,MANN-FILTER,A2128300318,A 204 830 00 18,74,MERCEDES-BENZ,False
31,424,"Filter, cabin air",186804886,"['V', 'O']",4,FP 29 005/1,504,MANN-FILTER,A2128300318,A 204 830 05 18,74,MERCEDES-BENZ,False
