,genericArticle_genericArticleId,genericArticle_genericArticleDescription,genericArticle_legacyArticleId,genericArticle_linkageTargetTypes,dataSupplierId,articleNumber,mfrId,mfrName,searchQuery,oem_articleNumber,oem_mfrId,oem_mfrName,oem_matchesSearchQuery
0,402,"Brake Pad Set, disc brake",410986057,"['V', 'O', 'A']",65,P 50 142,875,BREMBO,P 50 142,0004202704,74,MERCEDES-BENZ,False
1,402,"Brake Pad Set, disc brake",410986057,"['V', 'O', 'A']",65,P 50 142,875,BREMBO,P 50 142,0004203205,74,MERCEDES-BENZ,False
2,402,"Brake Pad Set, disc brake",410986057,"['V', 'O', 'A']",65,P 50 142,875,BREMBO,P 50 142,0004204000,74,MERCEDES-BENZ,False
3,402,"Brake Pad Set, disc brake",410986057,"['V', 'O', 'A']",65,P 50 142,875,BREMBO,P 50 142,0004204304,74,MERCEDES-BENZ,False
4,402,"Brake Pad Set, disc brake",410986057,"['V', 'O', 'A']",65,P 50 142,875,BREMBO,P 50 142,0004206304,74,MERCEDES-BENZ,False
5,402,"Brake Pad Set, disc brake",410986057,"['V', 'O', 'A']",65,P 50 142,875,BREMBO,P 50 142,0004206404,74,MERCEDES-BENZ,False
6,402,"Brake Pad Set, disc brake",410986057,"['V', 'O', 'A']",65,P 50 142,875,BREMBO,P 50 142,0004207205,74,MERCEDES-BENZ,False
7,402,"Brake Pad Set, disc brake",410986057,"['V', 'O', 'A']",65,P 50 142,875,BREMBO,P 50 142,0044207620,74,MERCEDES-BENZ,False
8,402,"Brake Pad Set, disc brake",410986057,"['V', 'O', 'A']",65,P 50 142,875,BREMBO,P 50 142,0044208420,74,MERCEDES-BENZ,False
9,402,"Brake Pad Set, disc brake",410986057,"['V', 'O', 'A']",65,P 50 142,875,BREMBO,P 50 142,004420842041,74,MERCEDES-BENZ,False
10,402,"Brake Pad Set, disc brake",410986057,"['V', 'O', 'A']",65,P 50 142,875,BREMBO,P 50 142,0044208920,74,MERCEDES-BENZ,False
11,402,"Brake Pad Set, disc brake",410986057,"['V', 'O', 'A']",65,P 50 142,875,BREMBO,P 50 142,0044209520,74,MERCEDES-BENZ,False
12,402,"Brake Pad Set, disc brake",410986057,"['V', 'O', 'A']",65,P 50 142,875,BREMBO,P 50 142,0054201120,74,MERCEDES-BENZ,False
13,402,"Brake Pad Set, disc brake",410986057,"['V', 'O', 'A']",65,P 50 142,875,BREMBO,P 50 142,0054203320,74,MERCEDES-BENZ,False
14,402,"Brake Pad Set, disc brake",410986057,"['V', 'O', 'A']",65,P 50 142,875,BREMBO,P 50 142,0054206620,74,MERCEDES-BENZ,False
15,402,"Brake Pad Set, disc brake",410986057,"['V', 'O', 'A']",65,P 50 142,875,BREMBO,P 50 142,005420662041,74,MERCEDES-BENZ,False
16,402,"Brake Pad Set, disc brake",410986057,"['V', 'O', 'A']",65,P 50 142,875,BREMBO,P 50 142,0054208920,74,MERCEDES-BENZ,False
17,402,"Brake Pad Set, disc brake",410986057,"['V', 'O', 'A']",65,P 50 142,875,BREMBO,P 50 142,0064202920,74,MERCEDES-BENZ,False
18,402,"Brake Pad Set, disc brake",410986057,"['V', 'O', 'A']",65,P 50 142,875,BREMBO,P 50 142,0064206720,74,MERCEDES-BENZ,False
19,402,"Brake Pad Set, disc brake",410986057,"['V', 'O', 'A']",65,P 50 142,875,BREMBO,P 50 142,0064207720,74,MERCEDES-BENZ,False
20,402,"Brake Pad Set, disc brake",410986057,"['V', 'O', 'A']",65,P 50 142,875,BREMBO,P 50 142,0064208720,74,MERCEDES-BENZ,False
21,402,"Brake Pad Set, disc brake",410986057,"['V', 'O', 'A']",65,P 50 142,875,BREMBO,P 50 142,0074200120,74,MERCEDES-BENZ,False
22,402,"Brake Pad Set, disc brake",410986057,"['V', 'O', 'A']",65,P 50 142,875,BREMBO,P 50 142,0074200820,74,MERCEDES-BENZ,False
23,402,"Brake Pad Set, disc brake",410986057,"['V', 'O', 'A']",65,P 50 142,875,BREMBO,P 50 142,0074202720,74,MERCEDES-BENZ,False
24,402,"Brake Pad Set, disc brake",410986057,"['V', 'O', 'A']",65,P 50 142,875,BREMBO,P 50 142,0074203920,74,MERCEDES-BENZ,False
25,402,"Brake Pad Set, disc brake",410986057,"['V', 'O', 'A']",65,P 50 142,875,BREMBO,P 50 142,0074204520,74,MERCEDES-BENZ,False
