index,matchType,description,match,mfrId,mfrName,part_dataSupplierId,part_articleNumber,part_mfrName,genericArticleId,genericArticleDescription,legacyArticleId,OEM SKU
0,OENumber,OE Number,BP4K-34-0A5B,72.0,MAZDA,14,89-157-0,BOGE,919.0,"Dust Cover Kit, shock absorber",10662424.0,BP4K-34-0A5B
1,OENumber,OE Number,BP4K-34-0A5B,72.0,MAZDA,14,89-229-0,BOGE,919.0,"Dust Cover Kit, shock absorber",10665466.0,BP4K-34-0A5B
2,OENumber,OE Number,BP4K-34-0A5B,72.0,MAZDA,14,89-386-0,BOGE,919.0,"Dust Cover Kit, shock absorber",220332413.0,BP4K-34-0A5B
3,OENumber,OE Number,BP4K-34-0A5B,72.0,MAZDA,4674,FDSHB-FOCIIIF-KIT,FEBEST,919.0,"Dust Cover Kit, shock absorber",1111573728.0,BP4K-34-0A5B
4,OENumber,OE Number,BP4K-34-0A5B,72.0,MAZDA,4674,FDSHB-KUGF-KIT,FEBEST,919.0,"Dust Cover Kit, shock absorber",1111573802.0,BP4K-34-0A5B
5,OENumber,OE Number,BP4K-34-0A5B,72.0,MAZDA,4674,FDSHB-KUGIIF-KIT,FEBEST,919.0,"Dust Cover Kit, shock absorber",1098349333.0,BP4K-34-0A5B
6,OENumber,OE Number,BP4K-34-0A5B,72.0,MAZDA,4674,MZSHB-BLF-KIT,FEBEST,919.0,"Dust Cover Kit, shock absorber",1111586692.0,BP4K-34-0A5B
7,OENumber,OE Number,BP4K-34-0A5B,72.0,MAZDA,4674,MZSHB-MZ3F,FEBEST,3365.0,"Protective Cap/Bellow, shock absorber",155572307.0,BP4K-34-0A5B
8,OENumber,OE Number,BP4K-34-0A5B,72.0,MAZDA,4674,VLSHB-S40IIF-KIT,FEBEST,919.0,"Dust Cover Kit, shock absorber",1111608867.0,BP4K-34-0A5B
9,OENumber,OE Number,BP4K-34-0A5B,72.0,MAZDA,4674,VLSHB-S80F-KIT,FEBEST,919.0,"Dust Cover Kit, shock absorber",1111609228.0,BP4K-34-0A5B
10,OENumber,OE Number,BP4K340A5B,72.0,MAZDA,101,108096,FEBI BILSTEIN,3365.0,"Protective Cap/Bellow, shock absorber",564454973.0,BP4K-34-0A5B
11,OENumber,OE Number,BP4K340A5B,72.0,MAZDA,85,910026,KYB,919.0,"Dust Cover Kit, shock absorber",38279936.0,BP4K-34-0A5B
12,OENumber,OE Number,BP4K340A5B,72.0,MAZDA,85,910139,KYB,919.0,"Dust Cover Kit, shock absorber",38285251.0,BP4K-34-0A5B
