matchType,description,match,mfrId,mfrName,part_dataSupplierId,part_articleNumber,part_mfrName,genericArticleId,genericArticleDescription,legacyArticleId,linkageTargetTypes,OEM SKU
OENumber,OE Number,90507-17003,111,TOYOTA,4391,1611254780,EUROREPAR,307.0,Timing Belt Kit,432666285.0,"['V', 'O', 'M']",11128-51N00
OENumber,OE Number,90507-17003,111,TOYOTA,50,VKMA 91003,SKF,307.0,Timing Belt Kit,23590542.0,"['V', 'O', 'M']",11128-51N00
OENumber,OE Number,90507-17003,111,TOYOTA,50,VKMC 91003,SKF,3096.0,Water Pump & Timing Belt Kit,23603441.0,"['V', 'O', 'M']",11128-51N00
OENumber,OE Number,90507-17003,111,TOYOTA,4391,1611254780,EUROREPAR,307.0,Timing Belt Kit,432666285.0,"['V', 'O', 'M']",13568-09041
OENumber,OE Number,90507-17003,111,TOYOTA,50,VKMA 91003,SKF,307.0,Timing Belt Kit,23590542.0,"['V', 'O', 'M']",13568-09041
OENumber,OE Number,90507-17003,111,TOYOTA,50,VKMC 91003,SKF,3096.0,Water Pump & Timing Belt Kit,23603441.0,"['V', 'O', 'M']",13568-09041
OENumber,OE Number,90507-17003,111,TOYOTA,4391,1611254780,EUROREPAR,307.0,Timing Belt Kit,432666285.0,"['V', 'O', 'M']",51128054565
OENumber,OE Number,90507-17003,111,TOYOTA,50,VKMA 91003,SKF,307.0,Timing Belt Kit,23590542.0,"['V', 'O', 'M']",51128054565
OENumber,OE Number,90507-17003,111,TOYOTA,50,VKMC 91003,SKF,3096.0,Water Pump & Timing Belt Kit,23603441.0,"['V', 'O', 'M']",51128054565
OENumber,OE Number,90507-17003,111,TOYOTA,4391,1611254780,EUROREPAR,307.0,Timing Belt Kit,432666285.0,"['V', 'O', 'M']",18307616850
OENumber,OE Number,90507-17003,111,TOYOTA,50,VKMA 91003,SKF,307.0,Timing Belt Kit,23590542.0,"['V', 'O', 'M']",18307616850
OENumber,OE Number,90507-17003,111,TOYOTA,50,VKMC 91003,SKF,3096.0,Water Pump & Timing Belt Kit,23603441.0,"['V', 'O', 'M']",18307616850
OENumber,OE Number,90507-17003,111,TOYOTA,4391,1611254780,EUROREPAR,307.0,Timing Belt Kit,432666285.0,"['V', 'O', 'M']",13503-63011
OENumber,OE Number,90507-17003,111,TOYOTA,50,VKMA 91003,SKF,307.0,Timing Belt Kit,23590542.0,"['V', 'O', 'M']",13503-63011
OENumber,OE Number,90507-17003,111,TOYOTA,50,VKMC 91003,SKF,3096.0,Water Pump & Timing Belt Kit,23603441.0,"['V', 'O', 'M']",13503-63011
OENumber,OE Number,GJYG6148Z,72,MAZDA,66,DCN44006,DENSO,448.0,"Condenser, air conditioning",30488597.0,"['V', 'O']",GJYG-61-48Z
OENumber,OE Number,GJYG6148Z,72,MAZDA,287,AC 794 000P,MAHLE,448.0,"Condenser, air conditioning",617687881.0,"['V', 'O']",GJYG-61-48Z
