index,matchType,description,match,mfrId,mfrName,part_dataSupplierId,part_articleNumber,part_mfrName,genericArticleId,genericArticleDescription,legacyArticleId,OEM SKU
0,OENumber,OE Number,A246 330 38 01,74.0,MERCEDES-BENZ,475,BCB6465,BORG & BECK,194.0,"Bellow Kit, drive shaft",1317216315.0,A2463303801
1,OENumber,OE Number,A246 330 38 01,74.0,MERCEDES-BENZ,101,179804,FEBI BILSTEIN,194.0,"Bellow Kit, drive shaft",1180896313.0,A2463303801
2,OENumber,OE Number,A246 330 38 01,74.0,MERCEDES-BENZ,101,179827,FEBI BILSTEIN,194.0,"Bellow Kit, drive shaft",1200935077.0,A2463303801
3,OENumber,OE Number,A 246 330 38 01,74.0,MERCEDES-BENZ,50,VKJP 8527,SKF,194.0,"Bellow Kit, drive shaft",471080606.0,A2463303801
0,OENumber,OE Number,17218514515,16.0,BMW,123,91480,NISSENS,1047.0,"Oil Cooler, automatic transmission",1278566327.0,17218514515
1,OENumber,OE Number,17 21 8 514 515,16.0,BMW,6437,BMS62.00105,SCHNIEDER AUTOTECH,469.0,"Oil Cooler, engine oil",1112032999.0,17218514515
0,OENumber,OE Number,0PB 105 249,92.0,PORSCHE,10,158.430,ELRING,572.0,"Shaft Seal, crankshaft",8892467.0,0PB105249
1,OENumber,OE Number,0PB 105 249,92.0,PORSCHE,9,81-36949-00,VICTOR REINZ,2048.0,Seal Ring,8892468.0,0PB105249
2,,,,,,,,,757.0,"Shaft Seal, camshaft",267239239.0,0PB105249
0,OENumber,OE Number,5 0039 8363,55.0,IVECO,101,105698,FEBI BILSTEIN,3243.0,"Bush, driver cab suspension",446770406.0,500398363
1,OENumber,OE Number,500398363,55.0,IVECO,95,030607020577,MAGNETI MARELLI,3627.0,"Joint Bearing, driver cab suspension",1137980882.0,500398363
0,OENumber,OE Number,11 53 7 600 588,16.0,BMW,162,V20-3853,VAICO,475.0,Radiator Hose,976384909.0,11537600588
0,OENumber,OE Number,A001 820 61 45,74.0,MERCEDES-BENZ,475,BW15RF,BORG & BECK,298.0,Wiper Blade,193603929.0,A0018206145
1,OENumber,OE Number,A 001 820 61 45,74.0,MERCEDES-BENZ,30,3 397 008 996,BOSCH,298.0,Wiper Blade,3068188.0,A0018206145
2,OENumber,OE Number,A 001 820 61 45,74.0,MERCEDES-BENZ,162,V30-3493,VAICO,6545.0,"Wiper Arm Set, window cleaning",954619017.0,A0018206145
0,OENumber,OE Number,WHT 004 072,5.0,AUDI,350,ADBP010000,BLUE PRINT,4918.0,"Screw Plug, transmission housing",873621508.0,WHT004072
1,OENumber,OE Number,WHT 004 072,5.0,AUDI,101,173581,FEBI BILSTEIN,4918.0,"Screw Plug, transmission housing",871005830.0,WHT004072
2,OENumber,OE Number,WHT 004 072,5.0,AUDI,129,PA-007,OPTIMAL,593.0,"Screw Plug, oil sump",629859919.0,WHT004072
3,OENumber,OE Number,WHT 004 072,5.0,AUDI,68,1084.298.013,ZF,4921.0,"Parts kit, automatic transmission oil change",187675612.0,WHT004072
4,OENumber,OE Number,WHT 004 072,5.0,AUDI,68,1084.298.014,ZF,4921.0,"Parts kit, automatic transmission oil change",459347740.0,WHT004072
0,OENumber,OE Number,4M0616005H,5.0,AUDI,4539,P-3473,Arnott,332.0,"Compressor, compressed-air system",856158150.0,4M0616005H
1,OENumber,OE Number,4M0616005H,253.0,VAG,4539,P-3473,Arnott,,,,4M0616005H
2,OENumber,OE Number,4M0616005H,815.0,BENTLEY,4539,P-3473,Arnott,,,,4M0616005H
0,OENumber,OE Number,7E0 253 115 E,5.0,AUDI,10,721.101,ELRING,138.0,"Gasket, exhaust pipe",206569501.0,7E0253115E
1,OENumber,OE Number,7E0 253 115 E,104.0,SEAT,10,721.101,ELRING,,,,7E0253115E
2,OENumber,OE Number,7E0 253 115 E,106.0,SKODA,10,721.101,ELRING,,,,7E0253115E
